time;temp
45480;0.26
45540;0.2
45600;0.2
45660;0.16
45720;0.18
45780;0.18
45840;0.28
45900;0.26
45960;0.11
46020;0.04
46080;0.1
46140;0.01
46200;0.06
46260;0.19
46320;0.06
46380;0.0
46440;0.03
46500;0.26
46560;0.2
46620;0.18
46680;0.07
46740;-0.07
46800;0.15
46860;0.03
46920;0.02
46980;0.06
47040;-0.07
47100;-0.21
47160;-0.12
47220;-0.2
47280;-0.08
47340;-0.07
47400;-0.05
47460;-0.31
47520;-0.06
47580;-0.07
47640;0.07
47700;0.06
47760;-0.02
47820;-0.01
47880;-0.04
47940;-0.07
48000;-0.12
48060;0.07
48120;0.03
48180;-0.13
48240;0.07
48300;-0.14
48360;-0.24
48420;-0.12
48480;-0.01
48540;-0.05
48600;-0.11
48660;-0.12
48720;-0.14
48780;-0.05
48840;-0.12
48900;-0.24
48960;0.07
49020;-0.14
49080;-0.02
49140;-0.11
49200;-0.1
49260;-0.27
49320;-0.13
49380;-0.13
49440;-0.14
49500;-0.06
49560;-0.1
49620;-0.18
49680;-0.26
49740;-0.27
49800;-0.07
49860;-0.21
49920;-0.11
49980;-0.05
50040;-0.08
50100;-0.16
50160;-0.11
50220;-0.2
50280;-0.34
50340;-0.21
50400;-0.34
50460;-0.41
50520;-0.2
50580;-0.14
50640;0.0
50700;-0.06
50760;-0.01
50820;0.06
50880;0.05
50940;0.08
51000;-0.01
51060;0.16
51120;0.11
51180;0.11
51240;-0.08
51300;0.04
51360;-0.03
51420;-0.03
51480;0.04
51540;0.05
51600;0.07
51660;0.0
51720;-0.13
51780;-0.02
51840;0.07
51900;0.15
51960;0.11
52020;0.19
52080;0.11
52140;0.12
52200;0.01
52260;0.05
52320;0.04
52380;0.08
52440;-0.03
52500;0.05
52560;-0.24
52620;-0.1
52680;-0.14
52740;-0.14
52800;-0.2
52860;-0.18
52920;-0.19
52980;-0.17
53040;-0.1
53100;-0.02
53160;0.08
53220;-0.18
53280;0.13
53340;-0.16
53400;-0.32
53460;-0.22
53520;-0.2
53580;-0.14
53640;-0.11
53700;0.02
53760;-0.11
53820;-0.05
53880;-0.25
53940;-0.28
54000;-0.13
54060;-0.24
54120;-0.21
54180;-0.28
54240;-0.29
54300;-0.16
54360;-0.09
54420;-0.26
54480;-0.19
54540;-0.23
54600;-0.15
54660;-0.06
54720;-0.09
54780;-0.03
54840;-0.05
54900;0.0
54960;0.09
55020;0.16
55080;0.02
55140;0.15
55200;0.09
55260;0.01
55320;0.08
55380;0.15
55440;0.39
55500;0.22
55560;0.08
55620;0.01
55680;0.06
55740;-0.08
55800;0.05
55860;-0.05
55920;-0.02
55980;0.04
56040;0.02
56100;0.01
56160;0.08
56220;0.07
56280;0.18
56340;0.16
56400;0.04
56460;0.03
56520;0.03
56580;-0.01
56640;-0.06
56700;-0.07
56760;-0.08
56820;0.0
56880;0.0
56940;0.13
57000;-0.35
57060;-0.15
57120;-0.08
57180;-0.04
57240;-0.04
57300;0.02
57360;0.07
57420;0.06
57480;-0.11
57540;0.19
57600;0.07
57660;0.19
57720;0.09
57780;0.13
57840;0.12
57900;0.11
57960;0.01
58020;0.01
58080;0.09
58140;0.0
58200;0.03
58260;-0.16
58320;0.05
58380;0.15
58440;0.1
58500;0.05
58560;-0.06
58620;0.03
58680;0.02
58740;-0.01
58800;0.0
58860;0.01
58920;0.06
58980;-0.03
59040;-0.03
59100;0.18
59160;-0.14
59220;-0.07
59280;-0.06
59340;0.05
59400;0.06
59460;0.22
59520;0.18
59580;0.15
59640;0.15
59700;-0.03
59760;-0.09
59820;-0.1
59880;-0.21
59940;-0.32
60000;-0.25
60060;-0.04
60120;-0.04
60180;-0.22
60240;-0.29
60300;-0.32
60360;-0.21
60420;-0.3
60480;-0.08
60540;-0.17
60600;-0.13
60660;-0.19
60720;-0.12
60780;-0.08
60840;-0.13
60900;-0.04
60960;-0.15
61020;-0.05
61080;-0.06
61140;-0.08
61200;-0.19
61260;-0.04
61320;0.03
61380;-0.13
61440;-0.12
61500;0.01
61560;0.08
61620;-0.09
61680;-0.03
61740;-0.17
61800;-0.01
61860;-0.03
61920;-0.07
61980;-0.2
62040;0.05
62100;-0.05
62160;0.12
62220;-0.08
62280;0.02
62340;0.01
62400;-0.06
62460;0.09
62520;-0.05
62580;-0.05
62640;-0.26
62700;-0.14
62760;0.2
62820;-0.06
62880;-0.14
62940;-0.09
63000;-0.13
63060;-0.09
63120;-0.19
63180;0.09
63240;-0.05
63300;-0.14
63360;-0.11
63420;-0.18
63480;0.01
63540;0.17
63600;0.18
63660;0.03
63720;-0.04
63780;0.03
63840;0.08
63900;0.09
63960;0.12
64020;0.24
64080;0.08
64140;0.22
64200;0.06
64260;0.05
64320;-0.03
64380;-0.03
64440;0.01
64500;-0.1
64560;0.12
64620;0.03
64680;0.02
64740;-0.12
64800;-0.02
64860;-0.15
64920;-0.18
64980;-0.07
65040;-0.05
65100;-0.17
65160;-0.08
65220;-0.01
65280;-0.06
65340;-0.04
65400;-0.07
65460;-0.08
65520;-0.22
65580;-0.18
65640;0.02
65700;0.0
65760;-0.03
65820;0.04
65880;0.01
65940;0.16
66000;0.02
66060;0.08
66120;0.02
66180;0.18
66240;0.29
66300;0.32
66360;0.29
66420;0.27
66480;0.22
66540;0.19
66600;0.13
66660;0.05
66720;0.09
66780;0.1
66840;0.05
66900;-0.07
66960;-0.1
67020;-0.27
67080;-0.05
67140;-0.12
67200;-0.04
67260;-0.05
67320;-0.03
67380;0.1
67440;-0.08
67500;-0.06
67560;-0.08
67620;-0.08
67680;0.1
67740;0.08
67800;0.13
67860;0.04
67920;0.16
67980;-0.01
68040;-0.01
68100;-0.17
68160;-0.02
68220;-0.11
68280;-0.17
68340;-0.17
68400;-0.03
68460;-0.06
68520;-0.21
